	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
NAAMES2-9_S24	AT34	98	2	Cast	5/20/16	6:10	53.551	-42.259	morning	24	Deep	5	5.957	1027.2388	1027.2394	34.5597	1474.06	1474.06	7.2139	3.03	5.9436	3.392788	3.392804	88.3593		4.5267																																3.1	0.475	0.752	0.096	0.079	0.354	0.07	0.38	0.05	0.723	0.42	0.014	3.039		0.061	0.475		0.435	0.317	0.008	0.047	0.028	0.036	0.077	0.014		4.327	0.61	1.576	5.903	2.186	3.413	6.513	2.135	1.1	0.72	0.28	1.98	0.09	0.91	0.48																						23.02	21.69	3.75E-05	Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-10_S39	AT34	99	2	Cast	5/20/16	6:10	53.551	-42.259	morning	19	Deep	25	26.189	1027.3475	1027.3493	34.5641	1474.01	1473.99	7.1979	3.0116	5.8397	3.385179	3.384732	89.4726		4.5129								55.1	2	0.4				12.6	2	0.7	0.17		0.5		5.93		7.82		0.16		7.85	0.79				2.764	0.436	0.68	0.084	0.071	0.313	0.063	0.336	0.032	0.667	0.394	0.013	2.69		0.074	0.436		0.392	0.288	0.006	0.042	0.025	0.035	0.072	0.015		3.88	0.528	1.445	5.325	1.973	3.089	5.853	1.957	1.12	0.73	0.27	1.97	0.09	0.91	0.47	66.48	2	7.11	23.36	2	1.24																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-11_S40	AT34	100	2	Cast	5/20/16	6:10	53.551	-42.259	morning	17	Deep	50	49.991	1027.6632	1027.6639	34.6488	1469.85	1469.85	7.0161	2.8703	4.6919	3.290029	3.289934	97.5464		0.5582								51.4	2	0.7				15	2	0	0.64		0.79		7.02		11.41		0.23		8.1	0.83				0.453	0.06	0.115	0.016	0.009	0.046	0.013	0.03	0.002	0.139	0.064	0.004	0.446		0.007	0.06		0.063	0.052		0.006	0.005	0.007	0.041	0.005		0.628	0.065	0.258	0.886	0.323	0.498	0.951	0.335	1.1	0.8	0.2	1.94	0.07	0.93	0.48	19.46	2	0.52	14.16	2	0.91																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-13_S41	AT34	101	2	Cast	5/20/16	6:10	53.551	-42.259	morning	15	Deep	75	77.4	1027.9266	1027.9284	34.7234	1467.48	1467.45	6.9169	2.7865	3.9808	3.234548	3.233999	98.8894		0.1533								50	2	0				17	2	0	0.4		0.95		7.78		13.87		0.41		7.48	0.75				0.135	0.019	0.038	0.005	0.006	0.016	0.005	0.009		0.046	0.007	0.002	0.132		0.003	0.019		0.019	0.019		0.002	0.002	0.003	0.03	0.004		0.192	0.021	0.075	0.267	0.096	0.153	0.288	0.101	1.13	0.78	0.22	2	0.07	0.93	0.47	9.08	2	0.4	11.02	2	0.99																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-14_S42	AT34	102	2	Cast	5/20/16	6:10	53.551	-42.259	morning	13	Deep	100	101.903	1028.0688	1028.0697	34.7349	1467.15	1467.15	7.1394	2.8414	3.8081	3.220733	3.220707	98.9338		0.121								50	2	0				16.4	2	0	0.77		0.91		7.57		13.16		0.17		7.29	0.01				0.116	0.013	0.034	0.005	0.005	0.016	0.008	0.007		0.036	0.002	0.002	0.115		0.001	0.013		0.018	0.016		0.002	0.002	0.003	0.03			0.163	0.022	0.059	0.222	0.081	0.128	0.244	0.082	1.1	0.73	0.27	2.01	0.09	0.91	0.48	9.8	2	1.09	7.84	2	2.64																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-15_S43	AT34	103	2	Cast	5/20/16	6:10	53.551	-42.259	morning	11	Deep	150	151.522	1028.3277	1028.3286	34.7436	1467.12	1467.12	6.8286	2.7131	3.6057	3.205662	3.205715	99.6265		0.0306								50.6	2	1.3				18	2	0	0.45		1		7.92		14.91		0.21		7.26	0.28																																													3.43	2	0.23	7.07	2	0.64																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-12	AT34	104	2	Cast	5/20/16	6:10	53.551	-42.259	morning	9	Deep	200	203.449	1028.59	1028.5915	34.7854	1468.49	1468.49	6.6116	2.6355	3.7177	3.221419	3.221521	99.7667		-0.017								48.6	2	0.5				17.9	2	0	0.12		1.02		8.2		15.54		0.06		7.7	0.22																																													1.52	2	0.22	5	2	0.36																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-16	AT34	105	2	Cast	5/20/16	6:10	53.551	-42.259	morning	7	Deep	300	303.519	1029.0858	1029.0865	34.8416	1470.74	1470.74	6.3901	2.5453	3.8446	3.242121	3.242067	99.9477		-0.0276								47	2	0.8				17.6	2	0	0.18		1.06		8.58		16.26		0.08		7.34	0.31																																													0.6	2	0.06	3.49	2	0.27																			Y	Periphery	Anticyclone	Weak	Subpolar	9.7	0.4	3.82	27.27976455	20	no
NAAMES2-17_S25	AT34	106	3	Cast	5/22/16	6:03	50.208	-43.846	morning	24	Deep	5	5.557	1027.0737	1027.0742	34.8885	1485.74	1485.74	6.9248	3.116	8.8869	3.693809	3.693707	88.5519		6.1803																																3.469	0.112	1.088	0.097	0.098	0.49		0.419		0.831	0.136	0.008	3.363		0.106	0.112		0.583	0.505	0.002	0.01	0.017	0.032	0.036			4.669	0.524	1.555	6.224	2.079	3.279	6.748	1.675	0.95	0.75	0.25	2.25	0.08	0.92	0.51																						9	7.57	1.49E-05	Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-18_S26	AT34	107	3	Cast	5/22/16	6:03	50.208	-43.846	morning	19	Deep	25	26.098	1027.2137	1027.2144	34.8986	1485.18	1485.18	6.733	3.0224	8.6423	3.672692	3.672736	88.6852		6.5157								57.5	2	1.4				10.5	2	0	0.3		0.38		4.08		6.66		0.32		6.89	0.01				4.326	0.13	1.512	0.112	0.116	0.743		0.322		1.27	0.137	0.007	4.239		0.087	0.13		0.74	0.772		0.012	0.014	0.04	0.058			5.968	0.441	2.266	8.234	2.707	4.349	8.675	2.403	1.01	0.84	0.16	2.2	0.05	0.95	0.5	43.9	2	1.65	18.83	2	2.04																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-19_S44	AT34	108	3	Cast	5/22/16	6:03	50.208	-43.846	morning	17	Deep	50	50.895	1027.3396	1027.3395	34.9024	1485.36	1485.37	6.505	2.9259	8.5828	3.668432	3.668673	93.0946		3.2627								55.8	2	2.2				11.8	2	0	0.43		0.44		4.25		7.53				6.92	0.19				2.646	0.064	0.956	0.071	0.06	0.544		0.174		0.848	0.026	0.005	2.608		0.038	0.064		0.416	0.54		0.005	0.006	0.026	0.052			3.666	0.25	1.478	5.144	1.728	2.748	5.394	1.547	1.04	0.86	0.14	2.12	0.05	0.95	0.49	24.19	2	10.36	16.07	2	1.43																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-20	AT34	109	3	Cast	5/22/16	6:03	50.208	-43.846	morning	15	Deep	75	77.883	1027.4973	1027.4978	34.925	1485.42	1485.42	6.3237	2.8443	8.4693	3.661348	3.661432	97.6591		0.5971								55.6	2	3.4				12.9	2	0	0.38		0.63		4.57		9.27		0.43		6.53	0.1				0.662	0.022	0.2	0.021	0.014	0.114	0.014	0.039		0.236	0.005	0.003	0.657		0.005	0.022		0.094	0.106		0.002	0.002	0.011	0.057			0.884	0.077	0.369	1.253	0.446	0.668	1.33	0.408	1.01	0.83	0.17	1.98	0.06	0.94	0.5	11.71	2	0.5	10.68	2	0.76																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-21_S27	AT34	110	3	Cast	5/22/16	6:03	50.208	-43.846	morning	13	Deep	100	101.466	1027.6542	1027.6554	34.9596	1485.3	1485.3	6.15	2.7657	8.3215	3.651926	3.651974	99.3122		0.0577								54.6	2	3				15.2	2	0	0.08		0.78		5.23		11.31		0.32		6.48	0.21				0.123	0.007	0.033	0.005	0.004	0.015	0.003	0.007		0.053	0.001	0.001	0.121		0.002	0.007		0.019	0.014				0.005	0.03			0.163	0.016	0.073	0.236	0.089	0.129	0.252	0.084	1.05	0.82	0.18	1.83	0.06	0.94	0.49	5.69	2	0.7	8.64	2	0.57																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-22_S46	AT34	111	3	Cast	5/22/16	6:03	50.208	-43.846	morning	11	Deep	150	152.329	1027.9228	1027.9237	35.0005	1486.07	1486.07	6.0066	2.6974	8.2893	3.655059	3.655104	99.9138		-0.024								52	2	2.2				15.7	2	0	0.04		0.82		5.65		12.29		0.02		6.23	0.02																																													1.41	2	0.25	4.29	2	0.22																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-23	AT34	112	3	Cast	5/22/16	6:03	50.208	-43.846	morning	9	Deep	200	202.118	1028.1568	1028.1574	35.0096	1486.89	1486.89	5.9736	2.6715	8.2866	3.657935	3.657956	99.9985		-0.0368								52.6	2	0.6				11.1	2	0	0.44		0.8		5.73		12.45		0.14		6.57	0.24																																													0.68	2	0.11	4.27	2	0.56																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-24_S28	AT34	113	3	Cast	5/22/16	6:03	50.208	-43.846	morning	7	Deep	300	302.857	1028.6612	1028.6562	34.8485	1484.07	1484.19	5.8021	2.5238	7.1928	3.54349	3.546173	99.944		-0.0457								52.5	2	0.4				9	2	0	0.08		0.95		7.29		14.25		0.02		6.04	0.03																																													0.99	2	0.02	3.93	2	0.53																			Y	Periphery	Anticyclone	Strong	Temperate	-2	4.6	5.26		20	no
NAAMES2-25_S48	AT34	114	4	Cast	5/24/16	6:10	47.668	-39.163	morning	24	Deep	5	6.058	1026.785	1026.7853	36.1407	1509.41	1509.41	5.2369	2.8002	15.4171	4.458989	4.458975	98.5412		0.4758																																0.392	0.061	0.091	0.014	0.026	0.056	0.015	0.016	0.002	0.101	0.004	0.003	0.388		0.004	0.061		0.048	0.043		0.007	0.007	0.005	0.028	0.018		0.544	0.05	0.187	0.731	0.237	0.389	0.781	0.266	0.99	0.79	0.21	2.3	0.06	0.94	0.5																						231.06	232.57	-2.22E-07	Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-26_S49	AT34	115	4	Cast	5/24/16	6:10	47.668	-39.163	morning	19	Deep	25	26.389	1026.8705	1026.8711	36.1405	1509.81	1509.8	5.2289	2.7917	15.4351	4.461736	4.461711	98.5544		0.453								53.2	2	0							0.23		0.29		1.12		5.29		0.29		5.74	0.18				0.388	0.062	0.089	0.014	0.024	0.053	0.014	0.015		0.102	0.004	0.002	0.386		0.002	0.062		0.046	0.043		0.006	0.007	0.006	0.028	0.018		0.539	0.045	0.183	0.722	0.228	0.379	0.767	0.261	0.98	0.8	0.2	2.36	0.06	0.94	0.51	8.11	2	0.41	11.78	2	0.98	7.6																		Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-27_S29	AT34	116	4	Cast	5/24/16	6:10	47.668	-39.163	morning	17	Deep	50	50.256	1026.9763	1026.9769	36.1391	1510.18	1510.18	5.2244	2.7826	15.4286	4.461972	4.461982	98.5216		0.503								53.7	2	1.1							0.33		0.29		1.12		5.26		0.17		5.59	0.13				0.395	0.061	0.093	0.014	0.026	0.057	0.016	0.016		0.102	0.004	0.002	0.388		0.007	0.061		0.048	0.045		0.007	0.007	0.005	0.029	0.018		0.549	0.048	0.189	0.738	0.237	0.391	0.786	0.268	0.99	0.8	0.2	2.32	0.06	0.94	0.5	7.72	2	1.39	10.9	2	1.04	7.7		0	2150000	11900000	564000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-28_S30	AT34	117	4	Cast	5/24/16	6:10	47.668	-39.163	morning	15	Deep	75	78.801	1027.1005	1027.1012	36.139	1510.68	1510.68	5.2258	2.7755	15.4367	4.46406	4.464089	98.5745		0.4973								53.5	2	0.9				8.4	2	0.2	0.25		0.29		1.15		5.34		0.28		5.59	0.12				0.406	0.063	0.096	0.014	0.027	0.059	0.016	0.016	0.001	0.105	0.004	0.002	0.399		0.007	0.063		0.05	0.046		0.007	0.007	0.005	0.027	0.019		0.565	0.049	0.195	0.76	0.244	0.403	0.809	0.276	0.99	0.8	0.2	2.32	0.06	0.94	0.5	5.84	2	1.14	13.26	2	1.19	7.6		0	2180000	11800000	589000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-29_S50	AT34	118	4	Cast	5/24/16	6:10	47.668	-39.163	morning	13	Deep	100	101.371	1027.1994	1027.2	36.1387	1511.06	1511.06	5.2233	2.7682	15.4393	4.465343	4.465352	98.5777		0.4768								53.4	2	0.3							0.03		0.3		1.13		5.32		0.4		6.32	0.02				0.389	0.061	0.09	0.014	0.025	0.055	0.015	0.015	0.001	0.103	0.004	0.002	0.381		0.008	0.061		0.046	0.044		0.006	0.007	0.005	0.03	0.018		0.54	0.047	0.187	0.727	0.234	0.385	0.774	0.265	0.99	0.8	0.2	2.31	0.06	0.94	0.5	7.13	2	0.43	8.1	2	0.73	7.6		0	2160000	11800000	582000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-30_S51	AT34	119	4	Cast	5/24/16	6:10	47.668	-39.163	morning	11	Deep	150	152.96	1027.4252	1027.4258	36.1389	1511.94	1511.94	5.2087	2.7477	15.448	4.468569	4.468585	98.5777		0.4683								53.5	2	0.8				8.1	2	0.4	0.81		0.29		1.12		5.28		0.32		6.24	0.05																																													7.5	2	1.21	8.22	2	2.66	8.5		0	2070000	11500000	619000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-31_S52	AT34	120	4	Cast	5/24/16	6:10	47.668	-39.163	morning	9	Deep	200	203.422	1027.6467	1027.6477	36.1348	1512.73	1512.74	5.1992	2.7289	15.4367	4.468834	4.469264	98.6148		0.4476								53.7	2	0.5				8.4	2	0.2	0.99		0.3		1.14		5.31		0.28		6.07	0.86																																													4.61	2	0.93	4.98	2	0.55	8.3		0	2160000	12000000	810000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-32	AT34	121	4	Cast	5/24/16	6:10	47.668	-39.163	morning	7	Deep	300	303.402	1028.1913	1028.1922	35.9322	1510.5	1510.49	5.0822	2.5985	14.2794	4.335079	4.33509	99.8816		-0.043								51.2	2	0.6				11	2	0.6	0.22		0.48		2.33		7.99		0		5.33	0.01																																													1.07	2	0.3	3.98	2	0.31			0	2040000	11500000	803000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		51	no
NAAMES2-33_S31	AT34	122	4	Cast	5/25/16	6:05	47.58	-38.848	morning	24	Deep	5	6.245	1026.7802	1026.7807	36.1421	1509.51	1509.51	5.2657	2.8142	15.4462	4.462084	4.462086	97.9009		0.7171																																0.516	0.085	0.113	0.019	0.028	0.068	0.022	0.021	0.003	0.13	0.005	0.003	0.514		0.002	0.085		0.063	0.05		0.009	0.011	0.005	0.024	0.025		0.714	0.068	0.231	0.945	0.299	0.497	1.013	0.341	0.96	0.77	0.23	2.39	0.07	0.93	0.51																						241.06	241.66	3.34E-07	Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
