	Domain	Phylum	Class	Order	Family	Genus
N27053	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	
N27054	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27055	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
N27056	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
N27057	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N27058	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
N27059	Bacteria	Lentisphaerae	Oligosphaeria			
N27060	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira
N27061	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27062	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales		
N27063	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27064	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27065	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27066	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27067	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N27068	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio
N27069	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N27070	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Saprospira
N27071	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N27072	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	I_basal
N27073	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27074	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N27075	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27076	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_I	
N27077	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage
N27078	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N27079	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N27080	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27081	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27082	Bacteria					
N27083	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N27084	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N27086	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
N27087	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27088	Bacteria	Proteobacteria	Betaproteobacteria			
N27089	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27090	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27091	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N27092	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N27093	Bacteria	Proteobacteria	Betaproteobacteria			
N27094	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N27095	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N27097	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Rubidimonas
N27098	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
N27099	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter
N27100	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
N27101	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
N27102	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27103	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27104	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
N27105	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N27107	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis	Draconibacteriaceae	Draconibacterium
N27109	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Carboxylicivirga
N27110	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	
N27111	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N27113	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27114	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N27115	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea
N27116	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N27117	Bacteria	Proteobacteria	Betaproteobacteria			
N27118	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27119	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N27120	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N27121	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	bac2nit3	
N27122	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	
N27123	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	
N27124	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27125	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27126	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N27128	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27129	Bacteria	Proteobacteria	Betaproteobacteria			
N27130	Bacteria	Proteobacteria	Betaproteobacteria			
N27131	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27132	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	
N27133	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Psychrosphaera
N27134	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27135	Bacteria	Proteobacteria	Betaproteobacteria			
N27136	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea
N27137	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27138	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	
N27140	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N27141	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N27142	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	
N27143	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	
N27144	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27145	Bacteria	Proteobacteria	Betaproteobacteria			
N27147	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N27148	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27149	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N27150	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N27151	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27152	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N27153	Bacteria	Proteobacteria	Gammaproteobacteria			
N27154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N27156	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27157	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27158	Bacteria					
N27159	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27161	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N27163	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanobacter
N27164	Bacteria	Proteobacteria	Gammaproteobacteria			
N27165	Bacteria	Proteobacteria				
N27166	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa
N27167	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27168	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa_basal
N27169	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27170	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
N27171	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27172	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27173	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27174	Bacteria	Proteobacteria				
N27175	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27176	Bacteria	Planctomycetes	OM190	OM190	OM190	
N27177	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
N27178	Bacteria	Bacteroidetes				
N27179	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib_other
N27180	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27181	Bacteria	Planctomycetes	Pla3_lineage			
N27183	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N27184	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia
N27185	Bacteria	Proteobacteria	Gammaproteobacteria			
N27186	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Balneatrix
N27187	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea
N27188	Bacteria	Gracilibacteria				
N27190	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N27191	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	
N27192	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
N27193	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	
N27194	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	
N27195	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
N27196	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Candidatus_Endoecteinascidia
N27197	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N27198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N27199	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N27201	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27202	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter
N27203	Bacteria	Proteobacteria	Alphaproteobacteria	SB1-18		
N27204	Bacteria	Verrucomicrobia	Opitutae	RS-B22		
N27206	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27207	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27208	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia
N27209	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
N27210	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N27211	Bacteria	Proteobacteria	Alphaproteobacteria			
N27212	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N27213	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27214	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales		
N27215	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N27216	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
N27217	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27218	Bacteria	Proteobacteria	Gammaproteobacteria			
N27219	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N27220	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27221	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27223	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27224	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N27225	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N27226	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales		
N27227	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27228	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
N27229	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N27230	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27231	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	
N27232	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	
N27233	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea
N27234	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27235	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27236	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	
N27237	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27240	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
N27241	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27242	Bacteria	Proteobacteria	SC3-20			
N27243	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27244	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N27246	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27247	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N27248	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
N27249	Bacteria	Bacteroidetes				
N27250	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fabibacter
N27251	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27252	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27253	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N27254	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	
N27255	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27256	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Hyalangium
N27257	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27258	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27259	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N27260	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27261	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27262	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes:BD2-11		
N27263	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes:BD2-11		
N27264	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27265	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27266	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27267	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	IV	IV
N27268	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27269	Bacteria	Proteobacteria	Betaproteobacteria			
N27270	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Lewinella
N27271	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27272	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	
N27273	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N27276	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
N27277	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	
N27278	Bacteria					
N27279	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N27280	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27281	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	
N27282	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
N27283	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N27284	Bacteria	Actinobacteria	Actinobacteria			
N27285	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27286	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.2
N27287	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27288	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27289	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga
N27290	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola
N27291	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
N27292	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N27293	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N27294	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N27295	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria
N27296	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N27297	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27298	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N27299	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27300	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	
N27301	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N27302	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N27303	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27304	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N27306	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N27307	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N27308	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N27309	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27310	Bacteria					
N27311	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27312	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27313	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27314	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade4	SAR202_clade4	
N27315	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27316	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27317	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27318	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N27319	Bacteria					
N27320	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales		
N27321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N27322	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales		
N27323	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27324	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N27325	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27326	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27327	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N27328	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N27329	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N27330	Bacteria	Proteobacteria	Betaproteobacteria			
N27331	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27332	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
N27333	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N27334	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
N27335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N27336	Bacteria	Proteobacteria	Gammaproteobacteria			
N27337	Bacteria	Gracilibacteria				
N27338	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	
N27339	Bacteria	Bacteroidetes	Cytophagia	Order_III	Unknown_Family	Balneola
N27340	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N27341	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	
N27342	Bacteria	TM6				
N27343	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea
N27344	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
N27345	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N27346	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	
N27347	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N27348	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	
N27350	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27351	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N27352	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27353	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	
N27354	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27355	Bacteria	Gracilibacteria				
N27356	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N27357	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N27358	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N27359	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
N27360	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N27361	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	
N27362	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27363	Bacteria					
N27364	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N27365	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
N27368	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27369	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	
N27370	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N27371	Bacteria					
N27372	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N27373	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Aureispira
