	Domain	Phylum	Class	Order	Family	Genus
N319	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N320	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N321	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
N322	Bacteria	Proteobacteria	Gammaproteobacteria			
N323	Bacteria					
N324	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N326	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	
N327	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.1
N328	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N329	Bacteria	Proteobacteria	AEGEAN-245			
N330	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	
N331	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	uncharact1
N332	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N333	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N334	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	
N335	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N336	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N337	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N338	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N339	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N340	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N341	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
